participant_index,stimulus_index,stimulus_type,response_time,tails.0,tails.1,tails.2,tails.3,tails.4,tails.5,tails.6,tails.7,X.2,heads.0,heads.1,heads.2,heads.3,heads.4,heads.5,heads.6,heads.7,X.0,X.1,test.1,mod.0,test.0,mod.7,mod.1,mod.4,mod.3,test.2,mod.6,mod.5,mod.2,prob.1,prob.0,prob.3,prob.2,prob.5,prob.4,prob.7,prob.6
21,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
81,1,psychic,,49,45,30,37,13,53,1,41,,51,55,70,63,87,47,99,59,,,,1,,1,1,1,1,,1,1,1,51,55,51,52,52,51,51,52
81,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
32,1,chickens,,30,13,49,41,45,53,37,1,,70,87,51,59,55,47,63,99,,,,1,,1,1,1,1,,1,1,1,87,70,59,51,53,55,99,63
32,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
26,1,psychic,,37,1,13,49,53,30,45,41,,63,99,87,51,47,70,55,59,,,,1,,1,1,1,1,,1,1,1,0,40,95,0,17,88,67,77
26,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
40,1,chickens,,1,49,37,13,41,45,30,53,,99,51,63,87,59,55,70,47,,,,1,,1,1,1,1,,1,1,1,33,50,59,41,47,41,46,52
40,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
29,1,chickens,,45,30,49,41,13,53,1,37,,55,70,51,59,87,47,99,63,,,,1,,1,1,1,1,,1,1,1,89,8,24,1,1,100,54,100
29,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
41,1,chickens,,30,41,49,37,45,1,13,53,,70,59,51,63,55,99,87,47,,,0,0,0,,0,,,0,,,0,,,,,,,,
41,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,0,0,0,,0,,,0,,,0,,,,,,,,
89,1,chickens,,49,45,13,53,41,1,30,37,,51,55,87,47,59,99,70,63,,,,1,,1,1,1,1,,1,1,1,55,60,60,75,35,65,55,40
89,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
104,1,psychic,,53,1,37,13,49,45,30,41,,47,99,63,87,51,55,70,59,,,,1,,1,1,1,1,,1,1,1,100,0,95,10,0,0,0,10
104,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
94,1,psychic,,53,30,49,41,37,13,1,45,,47,70,51,59,63,87,99,55,,,,1,,1,1,1,1,,1,1,1,50,0,25,0,70,25,0,99
94,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
88,1,chickens,,49,41,1,53,45,37,30,13,,51,59,99,47,55,63,70,87,,,,1,,1,1,1,1,,1,1,1,9,1,2,85,11,3,50,15
88,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
100,1,psychic,,45,1,37,53,13,30,41,49,,55,99,63,47,87,70,59,51,,,,1,,1,1,1,1,,1,1,1,100,1,1,15,70,80,1,15
100,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
105,1,psychic,,45,53,13,49,30,41,37,1,,55,47,87,51,70,59,63,99,,,,1,,1,1,1,1,,1,1,1,0,0,0,4,0,5,7,3
105,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
63,1,psychic,,1,53,49,30,45,13,41,37,,99,47,51,70,55,87,59,63,,,,1,,1,1,1,1,,1,1,1,0,38,5,0,5,0,0,0
63,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
34,1,psychic,,1,37,30,53,49,45,13,41,,99,63,70,47,51,55,87,59,,,,1,,1,1,1,1,,1,1,1,8,99,0,50,0,0,0,84
34,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
